PLAYER_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
Mark Williams,Transition,Offensive,0.981,44,0.093,1.581,0.84,0.226,0.065,0.226,0.097,0.742,0.84,0.7,1.1,0.5,0.6,0.1
Nick Richards,Transition,Offensive,0.952,65,0.085,1.474,0.77,0.316,0.079,0.316,0.079,0.737,0.769,0.6,0.9,0.3,0.4,0.1
Kai Jones,Transition,Offensive,0.885,46,0.217,1.371,0.7,0.114,0.057,0.086,0.029,0.686,0.7,0.8,1.0,0.5,0.7,0.2
Gordon Hayward,Transition,Offensive,0.881,50,0.15,1.366,0.6,0.232,0.054,0.214,0.054,0.643,0.669,2.2,3.1,1.0,1.7,0.7
Mason Plumlee,Transition,Offensive,0.733,56,0.119,1.239,0.79,0.183,0.183,0.169,0.028,0.648,0.787,1.3,1.6,0.7,0.8,0.2
Svi Mykhailiuk,Transition,Offensive,0.616,19,0.228,1.178,0.54,0.156,0.111,0.067,0.044,0.533,0.643,2.4,2.8,1.0,1.8,0.8
Jalen McDaniels,Transition,Offensive,0.493,56,0.288,1.119,0.52,0.169,0.09,0.153,0.056,0.531,0.557,3.2,3.5,1.3,2.5,1.2
Kelly Oubre Jr.,Transition,Offensive,0.486,48,0.186,1.117,0.51,0.134,0.061,0.117,0.056,0.514,0.552,3.7,4.2,1.6,3.2,1.6
P.J. Washington,Transition,Offensive,0.436,73,0.159,1.092,0.49,0.098,0.065,0.098,0.016,0.495,0.567,2.5,2.8,1.1,2.2,1.1
Dennis Smith Jr.,Transition,Offensive,0.37,55,0.188,1.064,0.56,0.164,0.155,0.155,0.027,0.536,0.571,2.0,2.1,0.8,1.4,0.6
Terry Rozier,Transition,Offensive,0.338,64,0.202,1.046,0.48,0.119,0.098,0.112,0.035,0.477,0.547,4.5,4.7,1.8,3.6,1.9
LaMelo Ball,Transition,Offensive,0.232,36,0.169,0.993,0.44,0.086,0.151,0.066,0.013,0.401,0.568,4.2,4.2,1.4,3.3,1.8
Theo Maledon,Transition,Offensive,0.096,44,0.155,0.868,0.41,0.17,0.17,0.151,0.075,0.396,0.423,1.2,1.0,0.4,0.9,0.5
James Bouknight,Transition,Offensive,0.084,34,0.226,0.852,0.42,0.111,0.167,0.111,0.019,0.389,0.488,1.6,1.4,0.5,1.2,0.7
JT Thor,Transition,Offensive,0.05,69,0.194,0.746,0.36,0.102,0.153,0.085,0.0,0.356,0.42,0.9,0.6,0.2,0.6,0.4
Bryce McGowens,Transition,Offensive,0.048,46,0.196,0.745,0.4,0.164,0.2,0.164,0.0,0.4,0.429,1.2,0.9,0.3,0.8,0.5
