TEAM_NAME,W,L,STL,BLK,DREB,DEF_RIM_FGM,DEF_RIM_FGA,DEF_RIM_FG_PCT
Atlanta Hawks,41,41,7.1,4.9,33.2,19.9,30.0,0.664
Boston Celtics,57,25,6.4,5.2,35.6,16.6,25.5,0.652
Brooklyn Nets,45,37,7.1,6.2,32.3,17.7,28.3,0.628
Charlotte Hornets,27,55,7.7,5.2,33.5,18.1,28.6,0.632
Chicago Bulls,39,42,7.8,4.5,33.9,17.0,25.0,0.681
Cleveland Cavaliers,51,31,7.1,4.7,31.4,16.5,25.9,0.636
Dallas Mavericks,38,44,6.3,3.7,31.2,18.0,26.6,0.676
Denver Nuggets,53,29,7.5,4.5,32.9,18.8,27.2,0.689
Detroit Pistons,17,64,7.0,3.8,31.3,19.4,28.4,0.682
Golden State Warriors,43,38,7.1,3.9,34.0,17.1,26.3,0.649
Houston Rockets,22,60,7.3,4.6,32.9,18.0,26.6,0.677
Indiana Pacers,35,47,7.7,5.8,31.4,19.8,31.0,0.639
LA Clippers,44,38,7.1,4.4,33.4,17.1,26.4,0.648
Los Angeles Lakers,43,39,6.4,4.6,35.7,18.0,27.4,0.658
Memphis Grizzlies,51,31,8.3,5.8,34.6,17.3,28.1,0.616
Miami Heat,44,38,8.0,3.0,30.9,15.4,22.0,0.699
Milwaukee Bucks,58,24,6.4,4.9,37.5,16.1,25.8,0.624
Minnesota Timberwolves,41,40,8.0,5.4,32.7,17.9,27.9,0.642
New Orleans Pelicans,42,40,8.3,4.1,33.1,17.7,25.1,0.706
New York Knicks,47,35,6.4,4.1,34.0,16.0,24.5,0.652
Oklahoma City Thunder,40,42,8.2,4.2,32.3,18.1,28.1,0.645
Orlando Magic,34,48,7.4,4.7,33.1,17.2,25.1,0.684
Philadelphia 76ers,54,28,7.7,4.7,32.2,16.8,24.6,0.68
Phoenix Suns,45,37,7.1,5.3,32.4,16.8,26.1,0.644
Portland Trail Blazers,33,48,6.7,4.5,31.1,19.9,29.8,0.669
Sacramento Kings,48,34,7.0,3.4,32.9,18.5,27.8,0.666
San Antonio Spurs,21,58,7.0,3.9,31.9,20.5,31.3,0.655
Toronto Raptors,41,41,9.4,5.2,30.3,18.0,27.3,0.661
Utah Jazz,37,45,6.1,5.2,34.1,19.2,30.6,0.627
Washington Wizards,35,47,6.8,5.2,34.2,18.5,29.4,0.631
