TEAM_NAME,W,L,TOUCHES,PAINT_TOUCHES,PAINT_TOUCH_FGM,PAINT_TOUCH_FGA,PAINT_TOUCH_FG_PCT,PAINT_TOUCH_FTM,PAINT_TOUCH_FTA,PAINT_TOUCH_FT_PCT,PAINT_TOUCH_PTS,PAINT_TOUCH_PTS_PCT,PAINT_TOUCH_PASSES,PAINT_TOUCH_PASSES_PCT,PAINT_TOUCH_AST,PAINT_TOUCH_AST_PCT,PAINT_TOUCH_TOV,PAINT_TOUCH_TOV_PCT,PAINT_TOUCH_FOULS,PAINT_TOUCH_FOULS_PCT
Atlanta Hawks,41,41,375.8,23.7,10.2,15.1,0.676,2.6,3.4,0.751,23.4,0.987,4.9,0.208,0.7,0.03,1.0,0.043,1.7,0.07
Boston Celtics,57,25,397.7,19.5,7.1,10.7,0.667,1.6,2.0,0.78,16.2,0.828,6.3,0.321,1.4,0.074,0.9,0.047,1.0,0.049
Brooklyn Nets,45,37,395.5,18.4,7.5,10.7,0.705,1.4,2.2,0.65,16.8,0.913,5.2,0.28,1.0,0.054,0.9,0.048,1.0,0.056
Charlotte Hornets,27,55,409.4,22.8,9.0,14.0,0.638,3.0,4.2,0.709,21.5,0.942,4.6,0.202,0.8,0.036,1.2,0.054,2.0,0.089
Chicago Bulls,39,42,405.9,17.8,7.4,11.1,0.663,1.8,2.6,0.679,16.8,0.949,3.8,0.216,0.8,0.042,0.9,0.05,1.3,0.071
Cleveland Cavaliers,51,31,387.2,25.5,9.9,14.4,0.682,2.9,4.0,0.708,23.0,0.903,6.6,0.261,1.4,0.054,1.4,0.054,1.9,0.076
Dallas Mavericks,38,44,389.0,16.6,6.2,8.8,0.701,2.0,2.9,0.686,14.7,0.885,4.9,0.295,0.8,0.05,0.9,0.054,1.3,0.081
Denver Nuggets,53,29,413.7,26.3,11.6,16.5,0.705,3.2,4.5,0.705,26.9,1.024,5.5,0.209,1.2,0.047,1.1,0.044,2.1,0.08
Detroit Pistons,17,64,386.6,21.1,8.1,13.0,0.624,2.7,3.8,0.703,19.2,0.91,4.5,0.212,0.9,0.041,1.2,0.058,1.8,0.086
Golden State Warriors,43,38,446.5,22.5,7.8,12.1,0.648,2.3,3.1,0.745,18.4,0.817,6.8,0.302,1.4,0.063,1.2,0.054,1.5,0.066
Houston Rockets,22,60,410.8,24.7,9.0,14.5,0.618,2.4,3.3,0.723,20.8,0.842,6.0,0.242,1.3,0.052,1.6,0.064,1.6,0.063
Indiana Pacers,35,47,428.8,20.6,7.9,12.3,0.643,3.0,4.0,0.748,19.2,0.932,4.5,0.219,0.6,0.031,1.1,0.052,1.9,0.09
LA Clippers,44,38,392.6,19.9,7.3,11.3,0.648,2.7,3.7,0.72,17.7,0.891,4.7,0.235,0.7,0.036,1.4,0.068,1.7,0.085
Los Angeles Lakers,43,39,380.4,24.5,9.8,14.5,0.673,3.8,4.8,0.787,23.9,0.977,5.2,0.213,0.9,0.037,1.4,0.055,2.2,0.089
Memphis Grizzlies,51,31,397.6,23.0,9.3,13.9,0.67,2.6,4.0,0.664,21.6,0.94,5.3,0.23,0.8,0.033,1.0,0.042,1.9,0.081
Miami Heat,44,38,410.4,23.0,7.9,12.6,0.623,2.7,3.3,0.814,18.9,0.819,6.8,0.295,1.2,0.052,1.1,0.048,1.6,0.068
Milwaukee Bucks,58,24,396.2,21.8,8.4,12.4,0.679,2.4,3.1,0.751,19.5,0.896,6.0,0.277,1.0,0.046,1.0,0.045,1.5,0.068
Minnesota Timberwolves,41,40,421.6,21.1,8.3,12.2,0.686,2.8,4.1,0.694,20.0,0.945,4.9,0.231,1.0,0.049,1.2,0.058,1.9,0.089
New Orleans Pelicans,42,40,419.1,21.2,8.9,13.3,0.665,2.6,3.5,0.753,20.7,0.978,4.4,0.205,0.8,0.039,1.1,0.05,1.6,0.076
New York Knicks,47,35,390.6,21.0,7.9,11.8,0.669,1.6,2.7,0.603,17.7,0.843,6.0,0.288,1.0,0.048,1.2,0.056,1.3,0.063
Oklahoma City Thunder,40,42,403.1,21.4,7.3,12.3,0.593,2.3,3.1,0.746,17.0,0.794,5.8,0.273,1.1,0.05,1.1,0.051,1.5,0.069
Orlando Magic,34,48,389.2,19.6,7.8,11.6,0.673,3.1,3.9,0.784,19.2,0.977,4.3,0.218,0.8,0.041,1.0,0.052,1.8,0.092
Philadelphia 76ers,54,28,402.3,17.5,6.2,9.5,0.656,2.8,3.6,0.79,15.6,0.889,4.6,0.263,0.7,0.04,1.0,0.056,1.7,0.095
Phoenix Suns,45,37,399.1,26.4,9.6,15.6,0.617,2.8,3.8,0.721,22.4,0.847,6.7,0.256,1.1,0.043,1.2,0.046,1.7,0.066
Portland Trail Blazers,33,48,396.3,18.0,6.7,10.5,0.639,1.7,2.3,0.705,15.3,0.849,4.9,0.271,0.7,0.036,0.9,0.051,1.1,0.064
Sacramento Kings,48,34,420.9,22.9,8.7,13.0,0.674,2.8,3.7,0.774,20.7,0.905,6.0,0.264,1.3,0.058,1.1,0.048,1.7,0.072
San Antonio Spurs,21,58,414.1,23.2,8.7,13.1,0.661,2.3,3.2,0.732,20.0,0.863,6.5,0.281,0.9,0.039,1.3,0.056,1.5,0.063
Toronto Raptors,41,41,413.3,25.3,9.9,15.5,0.637,2.7,3.8,0.727,23.0,0.911,5.8,0.231,1.1,0.044,1.2,0.048,1.8,0.071
Utah Jazz,37,45,395.5,23.1,9.6,14.0,0.685,2.4,3.4,0.717,21.9,0.948,5.4,0.232,1.1,0.047,1.2,0.051,1.6,0.069
Washington Wizards,35,47,406.3,20.0,8.3,12.2,0.675,2.5,3.3,0.772,19.6,0.982,4.4,0.218,0.8,0.042,1.1,0.053,1.6,0.079
