TEAM_NAME,W,L,PULL_UP_FGM,PULL_UP_FGA,PULL_UP_FG_PCT,PULL_UP_PTS,PULL_UP_FG3M,PULL_UP_FG3A,PULL_UP_FG3_PCT,PULL_UP_EFG_PCT
Atlanta Hawks,41,41,12.1,28.0,0.43,27.5,3.4,9.6,0.357,0.491
Boston Celtics,57,25,7.7,20.7,0.373,19.4,4.0,11.8,0.337,0.469
Brooklyn Nets,45,37,11.6,26.2,0.444,26.7,3.4,9.5,0.355,0.509
Charlotte Hornets,27,55,8.5,23.5,0.364,20.1,3.0,9.8,0.308,0.428
Chicago Bulls,40,42,9.9,24.0,0.41,21.6,1.9,5.9,0.316,0.449
Cleveland Cavaliers,51,31,9.0,22.2,0.408,22.2,4.1,10.7,0.384,0.5
Dallas Mavericks,38,44,9.0,23.1,0.388,22.4,4.4,13.0,0.341,0.484
Denver Nuggets,53,29,7.8,21.0,0.374,18.9,3.2,8.8,0.366,0.451
Detroit Pistons,17,65,9.6,25.1,0.384,22.1,2.8,9.0,0.314,0.44
Golden State Warriors,44,38,8.5,22.1,0.384,21.4,4.4,11.8,0.373,0.484
Houston Rockets,22,60,7.6,20.8,0.367,18.7,3.4,10.5,0.324,0.449
Indiana Pacers,35,47,8.5,21.4,0.398,21.2,4.2,11.1,0.379,0.497
LA Clippers,44,38,10.4,25.4,0.41,23.9,3.0,8.7,0.346,0.47
Los Angeles Lakers,43,39,7.9,21.0,0.375,17.9,2.1,7.0,0.307,0.427
Memphis Grizzlies,51,31,8.3,21.3,0.391,19.8,3.2,9.6,0.33,0.465
Miami Heat,44,38,9.3,23.0,0.403,22.0,3.4,9.9,0.344,0.477
Milwaukee Bucks,58,24,9.1,23.8,0.381,22.1,3.9,11.4,0.345,0.464
Minnesota Timberwolves,42,40,8.1,21.1,0.385,19.8,3.6,10.5,0.342,0.47
New Orleans Pelicans,42,40,7.5,18.8,0.4,16.9,1.9,5.6,0.336,0.45
New York Knicks,47,35,9.1,24.0,0.379,21.8,3.5,10.7,0.331,0.453
Oklahoma City Thunder,40,42,8.2,19.9,0.41,18.5,2.2,6.8,0.321,0.465
Orlando Magic,34,48,7.9,21.0,0.374,17.9,2.2,7.5,0.299,0.427
Philadelphia 76ers,54,28,9.1,22.7,0.4,21.6,3.4,9.8,0.352,0.476
Phoenix Suns,45,37,11.2,27.4,0.408,25.1,2.8,8.6,0.319,0.459
Portland Trail Blazers,33,49,8.6,22.6,0.38,21.4,4.2,12.0,0.348,0.472
Sacramento Kings,48,34,7.8,19.8,0.395,18.8,3.2,9.2,0.345,0.475
San Antonio Spurs,22,60,7.6,20.1,0.38,17.0,1.7,5.9,0.289,0.422
Toronto Raptors,41,41,9.0,24.3,0.37,20.6,2.7,8.9,0.301,0.425
Utah Jazz,37,45,7.6,19.9,0.383,18.7,3.5,10.3,0.337,0.47
Washington Wizards,35,47,8.8,21.9,0.403,20.1,2.5,7.8,0.321,0.46
