TEAM_NAME,W,L,OREB,OREB_CONTEST,OREB_UNCONTEST,OREB_CONTEST_PCT,OREB_CHANCES,OREB_CHANCE_PCT,OREB_CHANCE_DEFER,OREB_CHANCE_PCT_ADJ,AVG_OREB_DIST,DREB,DREB_CONTEST,DREB_UNCONTEST,DREB_CONTEST_PCT,DREB_CHANCES,DREB_CHANCE_PCT,DREB_CHANCE_DEFER,DREB_CHANCE_PCT_ADJ,AVG_DREB_DIST,REB,REB_CONTEST,REB_UNCONTEST,REB_CONTEST_PCT,REB_CHANCES,REB_CHANCE_PCT,REB_CHANCE_DEFER,REB_CHANCE_PCT_ADJ,AVG_REB_DIST
Atlanta Hawks,41,41,11.2,6.6,4.5,0.591,24.8,0.453,0.5,0.463,7.6,33.2,8.6,24.5,0.26,52.9,0.627,4.7,0.689,6.1,44.4,15.3,29.0,0.344,75.6,0.587,5.3,0.631,6.5
Boston Celtics,57,25,9.7,5.3,4.4,0.541,21.8,0.445,0.8,0.461,8.3,35.6,8.5,27.2,0.237,57.5,0.62,5.6,0.686,6.4,45.3,13.7,31.6,0.302,77.1,0.588,6.4,0.641,6.8
Brooklyn Nets,45,37,8.2,4.5,3.7,0.545,19.2,0.428,0.7,0.443,8.0,32.3,7.2,24.9,0.223,54.5,0.593,4.6,0.647,6.4,40.5,11.7,28.6,0.288,71.3,0.568,5.3,0.614,6.8
Charlotte Hornets,27,55,11.0,6.6,4.2,0.604,26.5,0.414,0.8,0.427,7.2,33.5,7.7,25.6,0.229,55.0,0.61,5.0,0.672,6.4,44.5,14.3,29.9,0.322,79.3,0.561,5.9,0.606,6.6
Chicago Bulls,39,42,8.4,5.1,3.3,0.609,20.3,0.415,0.7,0.43,7.6,33.9,7.8,26.0,0.23,53.9,0.628,4.5,0.685,6.3,42.3,12.9,29.3,0.306,71.7,0.589,5.2,0.635,6.5
Cleveland Cavaliers,51,31,9.7,5.8,3.9,0.6,22.0,0.441,0.7,0.455,7.7,31.4,8.0,23.3,0.255,51.1,0.615,4.5,0.674,6.4,41.1,13.8,27.2,0.337,71.0,0.578,5.1,0.624,6.7
Dallas Mavericks,38,44,7.6,3.9,3.7,0.517,19.9,0.383,0.6,0.395,8.9,31.2,7.2,23.9,0.232,51.0,0.612,4.4,0.669,6.2,38.8,11.2,27.6,0.288,68.3,0.568,5.0,0.613,6.7
Denver Nuggets,53,29,10.1,6.2,3.9,0.612,22.2,0.454,0.7,0.469,7.0,32.9,8.3,24.6,0.251,52.0,0.633,4.2,0.688,6.1,43.0,14.5,28.5,0.336,71.7,0.6,4.8,0.643,6.3
Detroit Pistons,17,64,11.1,6.3,4.7,0.572,26.4,0.42,0.7,0.432,7.6,31.3,6.9,24.3,0.22,52.0,0.601,4.5,0.658,6.2,42.3,13.2,29.0,0.312,75.6,0.56,5.3,0.602,6.6
Golden State Warriors,43,38,10.5,6.0,4.5,0.575,23.2,0.453,0.7,0.467,7.7,34.0,8.0,25.9,0.235,56.6,0.6,5.0,0.659,6.3,44.5,14.0,30.4,0.316,77.1,0.577,5.7,0.623,6.6
Houston Rockets,22,60,13.4,8.1,5.3,0.602,30.6,0.438,1.0,0.453,7.1,32.9,8.1,24.8,0.246,51.8,0.634,4.3,0.691,6.2,46.3,16.2,30.1,0.349,80.1,0.578,5.3,0.619,6.5
Indiana Pacers,35,47,10.1,5.5,4.6,0.546,25.9,0.392,0.7,0.403,8.2,31.4,7.2,24.2,0.229,54.3,0.578,5.6,0.644,6.6,41.5,12.7,28.8,0.306,77.9,0.533,6.3,0.58,7.0
LA Clippers,44,38,9.8,5.8,4.0,0.589,22.6,0.433,0.7,0.447,7.7,33.4,8.1,25.3,0.242,53.9,0.62,4.8,0.68,6.1,43.2,13.9,29.3,0.321,74.0,0.585,5.5,0.631,6.5
Los Angeles Lakers,43,39,10.0,6.0,3.9,0.6,22.6,0.442,0.8,0.457,7.1,35.7,9.1,26.5,0.255,56.5,0.632,5.2,0.696,6.3,45.7,15.1,30.4,0.33,76.8,0.595,5.9,0.645,6.4
Memphis Grizzlies,51,31,12.0,6.8,5.2,0.566,27.9,0.432,0.8,0.445,7.3,34.6,8.0,26.5,0.23,57.3,0.603,4.6,0.656,6.3,46.6,14.8,31.7,0.317,82.6,0.564,5.4,0.604,6.6
Miami Heat,44,38,9.7,5.4,4.3,0.557,23.1,0.42,0.7,0.433,8.1,30.9,7.1,23.8,0.23,52.3,0.591,5.3,0.657,6.7,40.6,12.5,28.1,0.308,73.4,0.553,5.9,0.602,7.1
Milwaukee Bucks,58,24,11.1,6.0,5.1,0.543,25.5,0.437,1.0,0.454,8.5,37.5,8.0,29.3,0.214,59.3,0.632,5.3,0.694,6.3,48.6,14.1,34.5,0.29,82.1,0.592,6.2,0.641,6.8
Minnesota Timberwolves,41,40,9.1,5.2,3.9,0.57,21.2,0.429,0.4,0.436,8.2,32.7,7.4,25.3,0.225,53.6,0.611,4.4,0.665,6.3,41.9,12.6,29.3,0.301,72.3,0.579,4.8,0.62,6.7
New Orleans Pelicans,42,40,10.6,6.2,4.4,0.585,24.7,0.427,0.8,0.441,7.5,33.1,8.2,24.9,0.247,53.2,0.623,4.5,0.681,6.2,43.7,14.4,29.3,0.329,75.4,0.58,5.3,0.624,6.5
New York Knicks,47,35,12.6,7.6,4.9,0.608,27.9,0.45,0.9,0.466,7.2,34.0,7.8,26.1,0.229,54.6,0.624,4.4,0.678,6.2,46.6,15.5,31.0,0.332,79.8,0.584,5.3,0.626,6.4
Oklahoma City Thunder,40,42,11.4,6.4,5.0,0.562,27.3,0.417,1.1,0.434,7.8,32.3,7.7,24.5,0.238,54.9,0.588,5.3,0.651,6.3,43.6,14.1,29.5,0.322,79.4,0.55,6.4,0.598,6.7
Orlando Magic,34,48,10.2,5.8,4.4,0.57,24.7,0.411,0.7,0.423,7.9,33.1,7.0,26.0,0.213,53.1,0.623,4.9,0.687,6.4,43.2,12.8,30.4,0.297,75.5,0.573,5.6,0.619,6.8
Philadelphia 76ers,54,28,8.7,5.1,3.6,0.589,21.3,0.41,0.7,0.424,7.9,32.2,6.9,25.3,0.214,52.7,0.611,4.7,0.671,6.3,40.9,12.0,28.9,0.294,71.6,0.572,5.4,0.618,6.6
Phoenix Suns,45,37,11.8,7.0,4.8,0.594,26.7,0.443,0.8,0.457,7.5,32.4,7.0,25.4,0.217,52.6,0.616,4.7,0.676,6.4,44.2,14.1,30.1,0.318,76.7,0.577,5.5,0.621,6.7
Portland Trail Blazers,33,48,9.5,5.2,4.2,0.55,23.2,0.407,0.9,0.423,8.4,31.1,7.2,24.0,0.23,51.0,0.611,4.6,0.672,6.2,40.6,12.4,28.2,0.305,71.9,0.565,5.5,0.612,6.7
Sacramento Kings,48,34,9.5,5.4,4.2,0.561,23.0,0.415,0.9,0.431,7.8,32.9,7.4,25.5,0.225,51.6,0.637,4.4,0.697,6.0,42.4,12.8,29.7,0.301,72.3,0.587,5.2,0.633,6.4
San Antonio Spurs,21,58,11.8,6.8,4.9,0.58,27.2,0.433,0.8,0.446,7.2,31.9,7.5,24.5,0.234,52.8,0.605,5.1,0.668,6.1,43.7,14.3,29.4,0.327,77.3,0.566,5.9,0.612,6.4
Toronto Raptors,41,41,12.7,8.1,4.6,0.637,28.5,0.446,1.1,0.464,6.8,30.3,7.1,23.1,0.236,48.6,0.624,4.5,0.687,6.4,43.0,15.2,27.7,0.354,75.0,0.574,5.6,0.62,6.5
Utah Jazz,37,45,11.8,7.0,4.8,0.589,26.7,0.441,0.7,0.454,7.4,34.1,7.8,26.2,0.23,54.6,0.624,4.4,0.678,6.2,45.9,14.8,31.0,0.322,78.8,0.583,5.1,0.623,6.5
Washington Wizards,35,47,9.4,5.7,3.7,0.602,21.8,0.433,0.6,0.445,7.2,34.2,8.0,26.2,0.233,55.1,0.62,5.0,0.682,5.9,43.6,13.6,29.9,0.313,74.7,0.584,5.5,0.631,6.2
