TEAM_NAME,W,L,MIN1,DIST_FEET,DIST_MILES,DIST_MILES_OFF,DIST_MILES_DEF,AVG_SPEED,AVG_SPEED_OFF,AVG_SPEED_DEF
Atlanta Hawks,41,41,242.13,94684.18,17.93,9.57,8.36,4.14,4.48,3.82
Boston Celtics,57,25,243.66,91744.29,17.38,9.39,7.99,4.0,4.3,3.7
Brooklyn Nets,45,37,240.61,92771.79,17.57,9.45,8.12,4.1,4.45,3.76
Charlotte Hornets,27,55,241.83,98094.39,18.58,10.06,8.52,4.3,4.7,3.91
Chicago Bulls,39,42,242.78,93837.63,17.77,9.29,8.48,4.12,4.43,3.82
Cleveland Cavaliers,51,31,242.44,92410.46,17.5,9.36,8.14,4.03,4.24,3.82
Dallas Mavericks,38,44,243.05,91963.3,17.42,9.42,8.0,4.02,4.24,3.78
Denver Nuggets,53,29,240.9,91054.33,17.25,9.24,8.0,4.02,4.29,3.74
Detroit Pistons,17,64,241.54,95536.26,18.09,9.73,8.37,4.2,4.47,3.92
Golden State Warriors,43,38,241.85,94658.52,17.93,9.77,8.16,4.15,4.6,3.72
Houston Rockets,22,60,240.91,91391.68,17.31,9.38,7.93,4.02,4.24,3.79
Indiana Pacers,35,47,240.91,98475.9,18.65,9.94,8.71,4.33,4.73,3.95
LA Clippers,44,38,241.83,92527.91,17.52,9.44,8.09,4.05,4.31,3.78
Los Angeles Lakers,43,39,242.44,92947.3,17.6,9.39,8.21,4.09,4.38,3.8
Memphis Grizzlies,51,31,241.22,96380.13,18.25,9.59,8.67,4.22,4.5,3.96
Miami Heat,44,38,241.52,94529.24,17.9,9.76,8.14,4.15,4.48,3.81
Milwaukee Bucks,58,24,241.83,94821.49,17.96,9.63,8.33,4.17,4.48,3.86
Minnesota Timberwolves,41,40,241.85,95514.44,18.09,9.58,8.51,4.18,4.5,3.88
New Orleans Pelicans,42,40,242.13,95267.93,18.04,9.61,8.43,4.17,4.49,3.86
New York Knicks,47,35,243.35,95847.38,18.15,9.88,8.27,4.17,4.43,3.9
Oklahoma City Thunder,40,42,242.13,98150.17,18.59,9.96,8.63,4.3,4.74,3.89
Orlando Magic,34,48,241.22,96482.91,18.27,9.77,8.51,4.24,4.57,3.92
Philadelphia 76ers,54,28,242.44,92069.26,17.44,9.32,8.12,4.03,4.24,3.82
Phoenix Suns,45,37,241.22,94346.61,17.87,9.69,8.18,4.15,4.46,3.83
Portland Trail Blazers,33,48,240.61,93134.25,17.64,9.55,8.09,4.1,4.37,3.83
Sacramento Kings,48,34,241.83,98383.43,18.63,9.86,8.77,4.3,4.71,3.93
San Antonio Spurs,21,58,242.21,99922.37,18.92,10.41,8.52,4.37,4.83,3.92
Toronto Raptors,41,41,241.52,94930.91,17.98,9.61,8.36,4.16,4.45,3.87
Utah Jazz,37,45,241.52,95426.4,18.07,9.89,8.18,4.17,4.52,3.8
Washington Wizards,35,47,240.91,94696.05,17.93,9.88,8.06,4.16,4.46,3.85
